model,type,mcq_accuracy,bleu,rouge_1,rouge_l,meteor
SVM,Supervised,0.33153978248425875,0.3020036076131833,0.466311959478816,0.4593863181471288,0.40430015195301416
RF,Supervised,0.32650257584430453,0.28886354278154125,0.46471083063434937,0.4575889235794036,0.39597375824267705
Ensemble,Supervised,0.3262736119061248,0.2969691146586073,0.4623319528843908,0.4554021482063624,0.39956885700714134
LR,Supervised,0.32306811677160846,0.29405244825519344,0.45942382696843304,0.4525169949684784,0.39639659613046274
K-Means,Unsupervised,0.3203205495134516,0.302670295696475,0.45851155271197064,0.4513029130897023,0.4036164543978462
